gadmPA,Score,por,elo,emk,ech,Lingualism,zScore,zpor,zelo,zemk,zech,category,Province,District,PostAdmin,NAME_1,NAME_2,iclat,iclong,score_por,score_elo,score_emk,score_ech,which_max,max,MainScore
"Nanhupo",5.8218894,.77200305,0,1,0,.56809556,-.98973399,-1.2024077,,-.98973399,,"Low","NAMPULA","MOGOVOLAS","NANHUPO-RIO","Nampula","Mogovolas",-15.92813,39.479912,1.982036,,5.6910858,,"Emakhua",1,5.6910858
"Chalaua",11.208246,.30607966,.027253669,.97274631,0,.25856045,.11847463,-.14702472,-.74734521,.14273252,,"High","NAMPULA","MOMA","CHALAUA","Nampula","Moma",-16.041748,39.095074,9.1278543,,11.601019,,"Emakhua",.97274631,11.601019
"Macone - Sede (Moma Sede)",10.832141,.52379781,0,1,0,.40171054,.041093446,-.00059178635,,.041093446,,"Medium","NAMPULA","MOMA","MOMA-SEDE","Nampula","Moma",-16.738102,39.273075,6.7841439,,12.077858,,"Emakhua",1,12.077858
"Netia",8.5848722,.7512753,0,1,0,.36401862,-.42126787,-.47470102,,-.42126787,,"Low","NAMPULA","MONAPO","MONAPO – SEDE","Nampula","Monapo",-14.716755,39.98597,5.5712562,,9.9324169,,"Emakhua",1,9.9324169
"Mossuril - Sede",7.8270783,.50059873,0,.98379445,0,.37215161,-.57717907,-.83642775,,-.57098693,,"Low","NAMPULA","MOSSURIL","MOSSURILSEDE","Nampula","Mossuril",-14.989651,40.674431,3.5443816,,9.7680941,,"Emakhua",.98379445,9.7680941
"Mulevala (Namigonha)",13.168696,.14185131,.97017521,0,0,0,.52182496,.50766855,.52631485,,,"High","ZAMBÉZIA","MULEVALA","MULEVALA","Zambezia","Ile",-16.378426,37.655811,6.1385927,12.874748,,,"Elomwe",.97017521,12.874748
"Nehessine",10.332125,.50280923,0,.99245715,0,.2055088,-.061781775,-.30941778,,-.061049879,,"Medium","NAMPULA","MURRUPULA","NIHESSIUHE","Nampula","Murrupula",-15.635204,38.737694,5.5534883,,12.9875,,"Emakhua",.99245715,12.9875
"Mucuse (Macuze)",11.064579,.66515857,0,0,.98414373,.17167018,.088915996,.28124595,,,.10901936,"Medium","ZAMBÉZIA","NAMACURRA","MACUSE","Zambezia","Namacurra",-17.696108,37.269787,6.6108203,,,11.474422,"Echuwabo",.98414373,11.474422
"Namacurra",11.118367,.25184572,.00071638043,0,.9159382,.0086704995,.099982694,.33670911,-.33585793,,.066465206,"Medium","ZAMBÉZIA","NAMACURRA","NAMACURRA SEDE","Zambezia","Namacurra",-17.402657,36.987267,10.013093,9,,11.069389,"Echuwabo",.9159382,11.069389
"Namarroi",13.625647,.058721982,.94577825,.0045786137,0,0,.61583936,.68198049,.59416872,1.7215785,,"High","ZAMBÉZIA","NAMARROI","REGONE","Zambezia","Namarroi",-16.066973,36.945431,,14.267219,,,"Elomwe",.94577825,14.267219
"Rapale",7.6253309,.6394462,0,.98569804,.00068832969,.2419197,-.61868739,-.57206416,,-.60930169,.69286031,"Low","NAMPULA","RAPALE","RAPALE","Nampula","Nampula",-14.987124,39.186283,5.2640486,,8.4987488,,"Emakhua",.98569804,8.4987488
"Iapala",8.7736254,.44080719,0,1,0,.30229521,-.38243312,-.38684595,,-.38243312,,"Low","NAMPULA","RIBAUE","IAPALA-SEDE","Nampula","Ribaue",-15.003006,37.891396,5.1683154,,10.048187,,"Emakhua",1,10.048187
"Ribaue",12.568444,.42128614,0,.97417367,0,.24411546,.39832681,.083776794,,.42657933,,"High","NAMPULA","RIBAUE","RIBAUE - SEDE","Nampula","Ribaue",-14.888422,38.535099,9.1210575,,13.759789,,"Emakhua",.97417367,13.759789
